arm,held_out,n_train,k_bearings,test_fp,dataset,rule
S3_units,Bearing1_5,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.05,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_6,20,1,0.8,PRONOSTIA,"(0.05, 20, 60)"
