dataset,condition,held_out,detector,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.5666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.5666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.2
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.65
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.15
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.4666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.6666666666666666
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.5666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.7166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.65
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.5666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.31666666666666665
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,4,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,4,20,0.0
